id,name,followers,popularity,genres,spotify_url,pictureURL
1Wy0tl7TSHAFL86w0KWgFh,Yogo!Yogo!,90.0,0.0,,https://open.spotify.com/artist/1Wy0tl7TSHAFL86w0KWgFh,https://i.scdn.co/image/ab67616d0000b2736134289cda7a4d5c9e64e7a3
7cNHQN4eCc7nud8htPxHBy,ASHES dIVIDE,56079.0,31.0,alternative metal,https://open.spotify.com/artist/7cNHQN4eCc7nud8htPxHBy,https://i.scdn.co/image/7a54d44889a484b50a7082f7919fd30bbb302bdb
68DWke2VjdDmA75aJX5C57,Yelawolf,2313730.0,66.0,"country hip hop, southern hip hop",https://open.spotify.com/artist/68DWke2VjdDmA75aJX5C57,https://i.scdn.co/image/ab6761610000e5eb009e7843e0c929a1f2c34c27
2CpYSnguHahDTkIO4EGAM1,Underdog,3348.0,30.0,,https://open.spotify.com/artist/2CpYSnguHahDTkIO4EGAM1,https://i.scdn.co/image/ab6761610000e5eb9c6a9ba8c5156a8b4a83e4a3
0KCF7xrlBD5YJ6Suz8rbtU,ISAN,6.0,0.0,,https://open.spotify.com/artist/0KCF7xrlBD5YJ6Suz8rbtU,
2G9gspjlIfQnPMz8giCQMb,The Matrix,108.0,16.0,,https://open.spotify.com/artist/2G9gspjlIfQnPMz8giCQMb,https://i.scdn.co/image/ab67616d0000b273fac07913a624865ba4d586cd
1pBuKaLHJlIlqYxQQaflve,Benny Goodman,403070.0,52.0,"big band, swing music, jazz, ragtime",https://open.spotify.com/artist/1pBuKaLHJlIlqYxQQaflve,https://i.scdn.co/image/750c81eeb00d7a4a618bcebe9f0a7f4250a282e2
5dUI54FMDxPqaXbNs4kLpB,Nicola Conte,56928.0,43.0,"nu jazz, acid jazz, bossa nova",https://open.spotify.com/artist/5dUI54FMDxPqaXbNs4kLpB,https://i.scdn.co/image/ab6761610000e5ebc81c9cd6d52cf946f143ad5c
0X7nkgtJrvXcn1W8lN9Mtm,The Residents,97298.0,36.0,"avant-garde, experimental, art pop, post-punk, art rock",https://open.spotify.com/artist/0X7nkgtJrvXcn1W8lN9Mtm,https://i.scdn.co/image/ab6761610000e5eb023e410f63447abcb46fbe85
59MthUTsLRW6wZ0cVEbLKV,Harry and the Potters,15172.0,16.0,,https://open.spotify.com/artist/59MthUTsLRW6wZ0cVEbLKV,https://i.scdn.co/image/ab6761610000e5ebc6f6eb2c0f656fab3776fde4
5bQZCiENsgmW4SvUOc86qI,Grzegorz Turnau,63524.0,54.0,,https://open.spotify.com/artist/5bQZCiENsgmW4SvUOc86qI,https://i.scdn.co/image/ab6761610000e5eb601b50b4f9604025a8d2e847
